block_date,n_swaps,simple_avg_next_bps,usd_weighted_next_bps,simple_avg_15s_bps,usd_weighted_15s_bps,total_usd,lp_pnl_next_dollar,lp_pnl_15s_dollar
2025-01-01,4209,3.7975945652682443,2.0130355568287097,3.7833331524978706,2.006470742748763,1.1951524400443107E8,24003.017215493623,23920.855372915386
2025-01-31,2,4.338938587107104,-2.91395540035852,4.341632774303586,4.18194027263936,93652.27215928861,-27.292288979348765,39.16909983743335
2025-02-01,6300,3.0539289828566405,-0.30281520041070675,3.0117556401467427,-0.47761443872252646,2.59117802185251E8,-7933.674370425395,-12466.870498513774
2025-02-02,10310,3.684179138081891,0.7878421575660253,3.641842408301665,0.8970206648975603,4.248930111051261E8,39680.191276915335,43908.395807850495
2025-02-03,15006,-3.8778477080013674,-11.74430306695473,-4.323478431997689,-10.833217825392436,1.479326109817917E9,-1304378.469830447,-1141102.3285345442
2025-02-04,12530,3.5474461873256313,-0.9263856322664796,3.4801282931139017,-1.045198111661273,7.622612380571941E8,-63404.286551754216,-73628.14966979474
2025-02-05,9551,3.21009398527638,-1.136966243223639,3.135550981675522,-1.2789433534632952,4.6566464341781044E8,-53361.466440392425,-59987.178514163155
2025-02-06,10033,1.7830278858827353,-6.296479501960598,1.9094954640738602,-5.1621661731617845,8.501467407086031E8,-535152.0474362856,-438688.2174834678
2025-02-07,9499,3.4356891472816407,-0.7398259452907658,3.237854919253351,-0.7523676289341027,4.2521302225112057E8,-31357.03536411863,-31974.44949574591
2025-02-08,6595,3.1037641834574314,0.4664472876997711,3.0901950678744474,0.4994256518554057,1.4898661796057066E8,6995.029734236181,7498.008123205162
2025-02-09,7041,3.7778293223972517,-0.7241894241195787,3.7195478357315372,-1.4505291922659782,1.9300261220010796E8,-15000.027789317704,-28754.81985962939
2025-02-10,7743,3.2893208670233336,0.6041443982791832,3.136407279274634,0.38456326992433293,2.1114638508219758E8,13081.637161021667,8417.00614949904
2025-02-11,7960,3.1790469311211775,-1.8058112189836437,3.0813798376949646,-0.8950984188583633,3.685782413411099E8,-67027.67324328845,-33175.922340031015
2025-02-12,8148,3.2756798339154747,-1.5278608508148976,3.1819301527285115,-2.110747501592409,3.965143197992221E8,-57511.714106052386,-80530.05167566006
