window_days,start_date,end_date,actual_days_present,n_swaps,total_usd,usd_weighted_next_bps,simple_avg_next_bps,usd_weighted_15s_bps,simple_avg_15s_bps,lp_pnl_next_dollar,lp_pnl_15s_dollar
7,2026-05-13,2026-05-19,7,25288,566892831.5862929,-1.045298916964004,3.2487818249389098,-1.617712164430968,3.1266439385963194,-59257.246289180934,-91706.94295858621
30,2026-04-20,2026-05-19,30,141595,1557593790.22329,0.07166400274809293,3.4640881553017264,-0.4223223168466632,3.376872461860052,11162.340566297433,-65780.66181930754
90,2026-02-19,2026-05-19,89,503077,12563846719.669785,-1.4460505783336257,3.2441123822345985,-2.1288861774949304,3.1298276032632613,-1816795.781507352,-2674699.961767003
180,2025-11-21,2026-05-19,178,1011072,20961587088.072334,-1.3139859305810302,2.8174625662580293,-1.8730020743747708,2.678633267483607,-2754323.0516376034,-3926109.6098146895
360,2025-05-25,2026-05-19,358,1987502,37244942390.85558,-0.8053987846865531,3.040248545829006,-1.2495796834193555,2.9061212556051252,-2999703.1337315775,-4654052.332173746
730,2024-05-20,2026-05-19,473,2830805,67400463030.99858,-1.091672253521281,2.9889268401328555,-1.3913184337045428,2.863452943092715,-7357921.536542801,-9377550.66552499
max=504,2025-01-01,2026-05-19,473,2830805,67400463030.99858,-1.091672253521281,2.9889268401328555,-1.3913184337045428,2.863452943092715,-7357921.536542801,-9377550.66552499
