victim_tx,protocol,pool,usd_amount
0xed2d4c0ec4b154859b65e67d786d95740e234e31c5f398fb950b891020a0a322,balancer_v3,0x654d648a0cdb11fcb6ddc7b4f27cdea6d1a5383d,22927.67762482938
0x0b72a223a737760bd1f3513a4c49203f4686394dce674f9a6555c02763483662,pancakeswap_v3,0x1ac1a8feaaea1900c4166deeed0c11cc10669d36,253.325804860063
0xa3c741c392eb200aed8aa3cea5def9d7f4b9a7951fb83604246483d222cfc84d,uniswap_v2,0x1cf74bebb1974ecd077a308e07b5ef012a49aa98,0.8289966919352125
0x5952db12a4cf71f9628d4e59a515aef6c09a582532145b89aa73aef9ca7210fd,curve_v2,0x7f86bf177dd4f3494b841a37e810a34dd56c829b,10618.50835952095
0xee5b439fc368ccc412cc2a7ba26e8c96abf2b3cd51ef61a62b986cea9aaafd7f,solidly,0xcd452c162da7761f08f656b8e5ede3a385981378,2.225855142519717
0x3cf21bd6ad20f7657546a3f8213b860ad12f4c8086d7f3fe0591bddf829ce7a4,curve_v2,0x5426178799ee0a0181a89b4f57efddfab49941ec,48.65945838126088
0x47439f9446aa4dcb024919d9401ceb68e019065da812ce2ce93cb5d1db3190e0,curve_v1,0xa3f07a2996639368a2b539d1df08c9ae0f992dbd,34.00789488640368
0xaf465821d09e4a0c3ca3facbfc9470fa2a6c4152d325f4312ad64c6959495dba,balancer_v1,0x2471de1547296aadb02cc1af84afe369b6f67c87,0.8695209177632
0x7792cc64d554a3fa6eb89668f314546878531251dd6cb7c6ceeb9e187b09e6da,uniswap_v3,0x980e6b4378318895efc44b911dbd8fd97dc12f38,1.22145334718448
0xde90cc33add451ef89a1df694ec91b2ac51e14f3a4b8de207fe3ae545f806674,uniswap_v3,0x35644fb61afbc458bf92b15add6abc1996be5014,0.5763680682961441
0x0bc258a1ec01eeda160a9fa590eed4da6646a9a1f4f5a9b0d4c9fb553a734905,curve_v1,0xa3f07a2996639368a2b539d1df08c9ae0f992dbd,92.78567982500175
0x3cdca86d47803ebd4195772765826bca507f9c0b5d3cef8ec8dc70925043a1f9,curve_v2,0x7f86bf177dd4f3494b841a37e810a34dd56c829b,5206.869553474333
0xd9773aa04b8bb7d083d1a78d3f3cb837030417765c487bd75269664fd31b70e9,solidly,0xcd452c162da7761f08f656b8e5ede3a385981378,2.223665778082726
0x99bf10b54ef91fa19ca1c01728c97f2aef201db77eca911060f641356d38a997,solidly,0xcd452c162da7761f08f656b8e5ede3a385981378,1.253192788006316
0xd8dccb7a335b74f238e635f09a02f65f6e05732f9c593ed77d32ec3b9e6ff0b3,pancakeswap_v3,0x1ac1a8feaaea1900c4166deeed0c11cc10669d36,743.8859969754391
0xda3b6e98056efe00029c2e8eebc9c189cefd5ecf03643b0ba8040c038a5ad722,balancer_v1,0x156d96eac6fe0e403428379c2d891c17a24c77f9,1.469824619417191
0xdac15a1f81d01353814b3a6d36b3311f5e4389f06583be1ea12b2c878cd88b1f,uniswap_v2,0x3ed1b76c68f6fd1c645e1e596cec0c77f56711cc,2.246305809489601
0x078d621aaeef6e95b0804f1529a700a2ab0e9e80b3ce8e186aedbe7bf4b7acc2,balancer_v3,0x21cb19f647a080b319db728df109bd2eeb971dbb,16667.42609912191
0xd8dccb7a335b74f238e635f09a02f65f6e05732f9c593ed77d32ec3b9e6ff0b3,uniswap_v2,0x2e8135be71230c6b1b4045696d41c09db0414226,371.6548367910945
0xb0cb1e80c83e4e8dba9ea1ec77ca9919e5b9371e0dfba742f7a8a99d1b02b80a,solidly,0xcd452c162da7761f08f656b8e5ede3a385981378,0.7076094585857725
0x679b158c712458852e6a66657214f12c1515a0a44658471d931fc5dd37101703,uniswap_v2,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,45.9925113430902
0x3cb5f18e68bbcf9429ae6c23f3df9bab4b3624ed4f92d149a91efbb107608cca,curve_v2,0x7f86bf177dd4f3494b841a37e810a34dd56c829b,15781.70907473132
0xd5bcd20478244d300255bd9f3300a2180a7fdd80912ed2849f0f972961f021b9,solidly,0xcd452c162da7761f08f656b8e5ede3a385981378,3.830439460737
0xbd553f214d6de239966c0cddb3f97d6a850db6a5d6c38ec9808ce34fea63bb91,uniswap_v3,0x35644fb61afbc458bf92b15add6abc1996be5014,5.47470013319625
0xaf465821d09e4a0c3ca3facbfc9470fa2a6c4152d325f4312ad64c6959495dba,balancer_v1,0x156d96eac6fe0e403428379c2d891c17a24c77f9,0.8729511008421
0x1b607c908f8e21bc980a957f3fb86ce83dd0c6301bcb79deb109480851f77982,uniswap_v3,0x35644fb61afbc458bf92b15add6abc1996be5014,3.0967205264556
0x33ea4e9e9d520bd286f7f0198a059ebda799db2e6a523901197207f164528d21,pancakeswap_v3,0x19ac5f80ec17497d0e585b953100e6d18c330040,0.4763424088571
0x6507ff7effb636e566ff6892294c00a0f76e48d5965508feed6c4b02ca84a614,solidly,0xcd452c162da7761f08f656b8e5ede3a385981378,1.307900912822589
0x5d1dba584426ca933b4063da7181465a3cf1a1c24e760bfdde5f04e1f2523714,pancakeswap_v3,0x1ac1a8feaaea1900c4166deeed0c11cc10669d36,1430.04802167151
0x428e33ea82e3afaff96b082ed3161cade1e20885f170d1625901218ffcb9776b,pancakeswap_v3,0x1ac1a8feaaea1900c4166deeed0c11cc10669d36,597.1405341651887
0x6b82bf925a0b7da4be3f67d5860b4e4aaedfff24fab1c744226a4cf9b5b676fe,pancakeswap_v3,0x1ac1a8feaaea1900c4166deeed0c11cc10669d36,72.5007526651206
0x9983d58413ae546aea2e3e79f96e8e0630619e5265bf53b908523e190db57d4d,balancer_v3,0x792428dd1409153dccc7613160dc82290543ff14,8.210117672925477
0x9f0115d7efdc1cdb5b444c375faaca4bcedfd43ce058f4604293d9950db6d9d1,solidly,0xcd452c162da7761f08f656b8e5ede3a385981378,3.92659154967935
0x86f785dfb472734d14f5409022e2a19a5db2858c20e2628571527af61b18de12,pancakeswap_v3,0x1ac1a8feaaea1900c4166deeed0c11cc10669d36,346.625836971371
0xa379201b304ad7eb8402d680058108aa97d88c5847d8cceea0396f58c970bed9,curve_v2,0x5426178799ee0a0181a89b4f57efddfab49941ec,30.3431917527954
0x751c9086ebe319d7e40237b163501f9fbc30c6692a8b749fa3a36e23676899f4,pancakeswap_v3,0x1ac1a8feaaea1900c4166deeed0c11cc10669d36,536.3612677521515
0xd1a1e90351ccdd6d36a6e6ef8dfeff14d34492efbc9204973eb3a10e9e352a80,uniswap_v3,0x35644fb61afbc458bf92b15add6abc1996be5014,9.8046855608475
0xd4d899c43e26ea24d6cd1839c2294f8df68e5c13401785d24d23547e0ffbf83f,curve_v2,0x7f86bf177dd4f3494b841a37e810a34dd56c829b,7078.400988526526
0x594f4287f855f62a1e4f3f191d6a4bbf662f0a26caecaab1a573a26abd57fd8c,curve_v2,0x7f86bf177dd4f3494b841a37e810a34dd56c829b,6615.792397992045
0xaa34c65d3e3ab13be740d4dda266da9f1af7458f1b63c12c6f485750bda1591e,pancakeswap_v3,0x1ac1a8feaaea1900c4166deeed0c11cc10669d36,170.6012072094676
0xaf465821d09e4a0c3ca3facbfc9470fa2a6c4152d325f4312ad64c6959495dba,balancer_v1,0xa5910940b97b7b8771a01b202583fd9331cb8be3,1.1165690815865
0x8cf8b7f22e99af9497e753d34cf4fdd41073b882c087bb401450d5a3298220d0,solidly,0xcd452c162da7761f08f656b8e5ede3a385981378,1.473218065753969
0x2c0321106956188cd53cc8b95f0f2365a80c9e1a0ea7a946796ed6e304b36a81,pancakeswap_v3,0x1ac1a8feaaea1900c4166deeed0c11cc10669d36,294.8383932089661
0xf2b2b680657210cf92b19158447740e905841f8aa3533377008b731adff3c0e8,uniswap_v2,0x20e95253e54490d8d30ea41574b24f741ee70201,87.46359268922184
