tx_hash,top_project,top_pool,size_usd,observed_spread_fair_lag_bps,routing,version,platform,wallet_name,token_in_symbol,token_out_symbol,usd_amount_shown_to_user
0x53352179333d0548a5e5ff54fc44c26807ef04a27314b33240b03eb7783ea3f6,curve,0x70c517e64af39ddb051d58566fcd3e2393367ef1,1058.0,34.7,uniswap_x_v2,X,Web,trust wallet,BLOCK,ETH,1055.55000000000000000000000000000000000000
0x76ae1944cb2fe9ce4f3b6e767b084dc6c5da64aac6cedcd0487ce804a62ca159,curve,0x70c517e64af39ddb051d58566fcd3e2393367ef1,1318.0,33.2,uniswap_x_v2,X,Web,trust wallet,BUSD,WBTC,1311.14000000000000000000000000000000000000
0x4e1c9aa080c8c84d5645a05c86e96844efa8f77176f921fc98b60d440853e649,curve,0x70c517e64af39ddb051d58566fcd3e2393367ef1,1111.0,32.0,uniswap_x_v2,X,Web,metamask,GEAR,USDT,1105.10000000000000000000000000000000000000
0x9fdbb0eca81ab6c4269bece3cdb740e0c8eb03729f5ba82e253ff9ecdcf02f4d,curve,0x70c517e64af39ddb051d58566fcd3e2393367ef1,163.0,34.0,uniswap_x_v2,X,Web,metamask,UPEG,ETH,1639.50000000000000000000000000000000000000
0x8dfe6a756b62841d9a383cd75d5797cd62a50d9d67bbcd563b25fbafe9740d55,curve,0x70c517e64af39ddb051d58566fcd3e2393367ef1,3128.0,33.2,uniswap_x_v2,X,Web,phantom,sato,ETH,15581.50000000000000000000000000000000000000
0xbe4aca2a298ae53de747eea7c68ac228a0a0c90e9276d50e7fbbfa093a0c6cb7,curve,0xa3f07a2996639368a2b539d1df08c9ae0f992dbd,924.0,28.2,uniswap_x_v2,X,Mobile,Uniswap Wallet,UPEG,ETH,2644.40000000000000000000000000000000000000
0x0808ad5f619478cb7b7a746b79f9c962fb7d2c7745a9237f09b90ac5b534b507,curve,0x70c517e64af39ddb051d58566fcd3e2393367ef1,3831.0,33.7,uniswap_x_v2,X,Web,okx wallet,USDC,SLOP,3733.56000000000000000000000000000000000000
0xd1a35cbb70c19d560fc801b35b2fb97e8d2cc8681b4a4bf734ad13447e3daa23,curve,0xa3f07a2996639368a2b539d1df08c9ae0f992dbd,996.0,29.0,uniswap_x_v2,X,Web,metamask,USDT,TRAC,9916.17000000000000000000000000000000000000
0x49ac1db0650f9c6264dd36c90d163bfd1fcec2ff3875a39b9665ca9a3f2c03a0,curve,0xa3f07a2996639368a2b539d1df08c9ae0f992dbd,586.0,26.9,uniswap_x_v2,X,Web,metamask,VITARNA,ETH,2918.90000000000000000000000000000000000000
0xdff78dcc2c898d26f99f6dc9ce7cf12d755fd858b5ee64a212841194dcfb39e6,curve,0x553e528713688b85cba346216d6edd12793548a6,994.0,33.4,uniswap_x_v2,X,Web,metamask,USDT,UNICODED,999.54000000000000000000000000000000000000
0x3eea2262dd42357ca709afd5b120100cdd0eff6c77bcf1df3f97143fa8d80db1,balancer,0x69d460e01070a7ba1bc363885bc8f4f0daa19bf5,118.0,-4.3,uniswap_x_v2,X,Web,trust wallet,DYDX,ETH,973.35000000000000000000000000000000000000
0x53b40603f2f320693174a8af4540f7af90d9d3f59d7f8e315acd790bf3c69fe0,curve,0x89c97135859b3a96f29e2462b490643f46473b96,35205.0,28.1,uniswap_x_v2,X,Web,ledger wallet,TUSD,USDC,50169.90000000000000000000000000000000000000
0x41ee49944fdc4c49f514254d6d6569796fba679466d92d2515a1dbda0f099713,curve,0x89c97135859b3a96f29e2462b490643f46473b96,997.0,28.6,uniswap_x_v2,X,Web,metamask,USDC,ENJ,970.24000000000000000000000000000000000000
0x68910383f895aff242c55d2306d6cd956ef5dfecb880b1845defeaa0a985f121,curve,0x89c97135859b3a96f29e2462b490643f46473b96,1001.0,-1.9,uniswap_x_v2,X,Web,metamask,USDC,ENJ,1906.58000000000000000000000000000000000000
0x586bca2e5b559e2d7cc1e5db120f3980559ad9541ef94cf2e8f6beb2c0f225e0,curve,0x7f86bf177dd4f3494b841a37e810a34dd56c829b,614.0,-11.7,uniswap_x_v2,X,Web,binance wallet,ASTEROID,USDC,8892.01000000000000000000000000000000000000
0x482809854fea473be8ced2a0f91677b8702c7eba5d88851dffaf7d1e51a808ff,curve,0x89c97135859b3a96f29e2462b490643f46473b96,102.0,121.9,uniswap_x_v2,X,Web,tokenpocket,sato,USDT,1622.98000000000000000000000000000000000000
