pct,size_usd
0.0,9.868134543771e-07
0.01,9.962723546330148e-07
0.02,9.97423767565491e-07
0.03,9.985614829030043e-07
0.04,9.998426334610262e-07
0.05,1.004701260944442e-06
0.06,1.9994042e-06
0.07,5.941474046822968e-06
0.08,1.19985264e-05
0.09,2.197195250783359e-05
0.1,5.199985128e-05
0.11,9.892591583975106e-05
0.12,0.0001479841788
0.13,0.0002019356327
0.14,0.000265
0.15,0.0003421464015772
0.16,0.0004950143053608
0.17,0.0007621332922563
0.18,0.0009976341939582
0.19,0.0010616968521
0.2,0.001599794288
0.21,0.0019688767406
0.22,0.0020838245272
0.23,0.00240381258416
0.24,0.0029308502259
0.25,0.0031260603365
0.26,0.003285140711
0.27,0.0033369565412
0.28,0.003500670906
0.29,0.0048152137980714
0.3,0.00588007350726
0.31,0.0070771485166
0.32,0.008510001702
0.33,0.0095809617792
0.34,0.0099366279419866
0.35,0.0099964948560354
0.36,0.010060113157821
0.37,0.0106949033529
0.38,0.0119545636425
0.39,0.0131209370644
0.4,0.0144295941856
0.41,0.015579921881054
0.42,0.0174923643312
0.43,0.0190348572375
0.44,0.0197259374376
0.45,0.0200010154032
0.46,0.02051704475788
0.47,0.0209526358946
0.48,0.0214120202757
0.49,0.0224061827112
0.5,0.0234173510082
0.51,0.0246970566394031
0.52,0.02658262262835
0.53,0.02887139410799
0.54,0.0296377500188
0.55,0.0302885441073
0.56,0.0312513170396
0.57,0.032427084543
0.58,0.033508540177
0.59,0.0355276868724
0.6,0.0375114227882
0.61,0.03974136953545
0.62,0.0418408422568
0.63,0.0442478223036
0.64,0.04684931319222
0.65,0.0487345459215
0.66,0.0497487996970867
0.67,0.05000411162025
0.68,0.0505119799428684
0.69,0.052080617603404
0.7,0.0534569607668082
0.71,0.0554752038837292
0.72,0.05808744759484
0.73,0.0597156160590686
0.74,0.0618040275481591
0.75,0.0639063804824263
0.76,0.0660717741684
0.77,0.06855623745748
0.78,0.071055112007
0.79,0.0742924532532
0.8,0.0777973094373301
0.81,0.08048618457708
0.82,0.08399645280248
