pct,markout_next_bps,markout_15s_bps
17.3,-1.404933,-3.016395
17.4,-1.396993,-3.000150
17.5,-1.393426,-2.975596
17.6,-1.385685,-2.951927
17.7,-1.375637,-2.941794
17.8,-1.370329,-2.931350
17.9,-1.360359,-2.916486
18.0,-1.351017,-2.901745
18.1,-1.345386,-2.885790
18.2,-1.336778,-2.864122
18.3,-1.330859,-2.851140
18.4,-1.321583,-2.838333
18.5,-1.315439,-2.817407
18.6,-1.307878,-2.803336
18.7,-1.299980,-2.791852
18.8,-1.292908,-2.780410
18.9,-1.287516,-2.771545
19.0,-1.281467,-2.755190
19.1,-1.275064,-2.745382
19.2,-1.269876,-2.734305
19.3,-1.262324,-2.719938
19.4,-1.257360,-2.697900
19.5,-1.249797,-2.671700
19.6,-1.245653,-2.662739
19.7,-1.232571,-2.652342
19.8,-1.224419,-2.647696
19.9,-1.218182,-2.636726
20.0,-1.213179,-2.623435
20.1,-1.207959,-2.614003
20.2,-1.202463,-2.602224
20.3,-1.194850,-2.592032
20.4,-1.188488,-2.579865
20.5,-1.181109,-2.567494
20.6,-1.175243,-2.555625
20.7,-1.165817,-2.537849
20.8,-1.161826,-2.525748
20.9,-1.154465,-2.511196
21.0,-1.147725,-2.499558
21.1,-1.139526,-2.485766
21.2,-1.130770,-2.478102
21.3,-1.122759,-2.465915
21.4,-1.115971,-2.454639
21.5,-1.106403,-2.445494
21.6,-1.101049,-2.436592
21.7,-1.090972,-2.424284
21.8,-1.085425,-2.411779
21.9,-1.080513,-2.397885
22.0,-1.075139,-2.386536
22.1,-1.069106,-2.372209
22.2,-1.059521,-2.361833
22.3,-1.051281,-2.348799
22.4,-1.046214,-2.338476
22.5,-1.040785,-2.321922
22.6,-1.037985,-2.305341
22.7,-1.032616,-2.291449
22.8,-1.021013,-2.278711
22.9,-1.014646,-2.271916
23.0,-1.007930,-2.260264
23.1,-1.002904,-2.254134
23.2,-0.998750,-2.249952
23.3,-0.993679,-2.238619
23.4,-0.989084,-2.222886
23.5,-0.981910,-2.200780
23.6,-0.974546,-2.184951
23.7,-0.970121,-2.170375
23.8,-0.966984,-2.158469
23.9,-0.961284,-2.145825
24.0,-0.956277,-2.136708
24.1,-0.951536,-2.123322
24.2,-0.947201,-2.108213
24.3,-0.942884,-2.093840
24.4,-0.940804,-2.088644
24.5,-0.934542,-2.081082
24.6,-0.931051,-2.069204
24.7,-0.926856,-2.061347
24.8,-0.922518,-2.054214
24.9,-0.918334,-2.039116
25.0,-0.910984,-2.024874
25.1,-0.904250,-2.012838
25.2,-0.896164,-1.999966
25.3,-0.891306,-1.993548
25.4,-0.886128,-1.986309
25.5,-0.879352,-1.968334
25.6,-0.873331,-1.956176
25.7,-0.869079,-1.942658
25.8,-0.865121,-1.928020
25.9,-0.859020,-1.919485
26.0,-0.852876,-1.911641
26.1,-0.844646,-1.904499
26.2,-0.838119,-1.894764
26.3,-0.833160,-1.878973
26.4,-0.824859,-1.868712
26.5,-0.815858,-1.858373
26.6,-0.811333,-1.846463
26.7,-0.806933,-1.840321
26.8,-0.803111,-1.833957
26.9,-0.797072,-1.822539
27.0,-0.791298,-1.811565
27.1,-0.788770,-1.803619
27.2,-0.786593,-1.794199
27.3,-0.778298,-1.786275
27.4,-0.773926,-1.773572
27.5,-0.771536,-1.764814
27.6,-0.768706,-1.758650
27.7,-0.765680,-1.752169
27.8,-0.761239,-1.741711
27.9,-0.756383,-1.731024
28.0,-0.752374,-1.721903
28.1,-0.747870,-1.708806
28.2,-0.741698,-1.699557
28.3,-0.737369,-1.690416
28.4,-0.734220,-1.681447
28.5,-0.730637,-1.671316
28.6,-0.722580,-1.665908
28.7,-0.718646,-1.661008
28.8,-0.714339,-1.645278
28.9,-0.707616,-1.634879
29.0,-0.701974,-1.623062
29.1,-0.697057,-1.609209
29.2,-0.692208,-1.596579
29.3,-0.685342,-1.590582
29.4,-0.679954,-1.582635
29.5,-0.672156,-1.572604
29.6,-0.664246,-1.556585
29.7,-0.660361,-1.550345
29.8,-0.655058,-1.540704
29.9,-0.648968,-1.530323
30.0,-0.643182,-1.523225
30.1,-0.637675,-1.513338
30.2,-0.634410,-1.507747
30.3,-0.629285,-1.496824
30.4,-0.626656,-1.487294
30.5,-0.624030,-1.476155
30.6,-0.620305,-1.470242
30.7,-0.617482,-1.460606
30.8,-0.613835,-1.449879
30.9,-0.610442,-1.442983
31.0,-0.607362,-1.433940
31.1,-0.602399,-1.425338
31.2,-0.599243,-1.414478
31.3,-0.595490,-1.401927
31.4,-0.592907,-1.390488
31.5,-0.586980,-1.378542
31.6,-0.580659,-1.371526
31.7,-0.577548,-1.365073
31.8,-0.573022,-1.354276
31.9,-0.567831,-1.345112
32.0,-0.561800,-1.338152
32.1,-0.559018,-1.324855
32.2,-0.555266,-1.316109
32.3,-0.551520,-1.305434
32.4,-0.549642,-1.297803
32.5,-0.541813,-1.290295
32.6,-0.536943,-1.280672
32.7,-0.534064,-1.270272
32.8,-0.532876,-1.263922
32.9,-0.528026,-1.257068
33.0,-0.524911,-1.250275
33.1,-0.519093,-1.243487
33.2,-0.514974,-1.236995
33.3,-0.512158,-1.227015
33.4,-0.509508,-1.220629
33.5,-0.507970,-1.212889
33.6,-0.504906,-1.205789
33.7,-0.500428,-1.199150
33.8,-0.497220,-1.190660
33.9,-0.494332,-1.177699
34.0,-0.488770,-1.170894
34.1,-0.485760,-1.162854
34.2,-0.482900,-1.158703
34.3,-0.478714,-1.140947
34.4,-0.475969,-1.133026
34.5,-0.470531,-1.126541
34.6,-0.468014,-1.119340
34.7,-0.465092,-1.111671
34.8,-0.461386,-1.099159
34.9,-0.456944,-1.092945
35.0,-0.453400,-1.084711
35.1,-0.451279,-1.080796
35.2,-0.446899,-1.074675
35.3,-0.438474,-1.067020
35.4,-0.434843,-1.060562
35.5,-0.432086,-1.053067
35.6,-0.427055,-1.048172
35.7,-0.422469,-1.041756
35.8,-0.417735,-1.036488
35.9,-0.415233,-1.029287
36.0,-0.411929,-1.022165
36.1,-0.407053,-1.008098
36.2,-0.403153,-1.002174
36.3,-0.399683,-0.994150
36.4,-0.397200,-0.983726
36.5,-0.393037,-0.979466
36.6,-0.389120,-0.970494
36.7,-0.383610,-0.962968
36.8,-0.379110,-0.958338
36.9,-0.376704,-0.952836
37.0,-0.371293,-0.946733
37.1,-0.368049,-0.934272
37.2,-0.365124,-0.930177
37.3,-0.361462,-0.924935
37.4,-0.356434,-0.919912
37.5,-0.353351,-0.912384
37.6,-0.350380,-0.903037
37.7,-0.346284,-0.893993
37.8,-0.343521,-0.886131
37.9,-0.339068,-0.881574
38.0,-0.336201,-0.874591
38.1,-0.331081,-0.868511
38.2,-0.328345,-0.854734
38.3,-0.324421,-0.845549
38.4,-0.320591,-0.838081
38.5,-0.316010,-0.831350
38.6,-0.313175,-0.820955
38.7,-0.311284,-0.815103
38.8,-0.304768,-0.807422
38.9,-0.301675,-0.801292
39.0,-0.298092,-0.797058
39.1,-0.295429,-0.790299
39.2,-0.291971,-0.783157
39.3,-0.288254,-0.777290
39.4,-0.285815,-0.769565
39.5,-0.281822,-0.765666
39.6,-0.279108,-0.759115
39.7,-0.276399,-0.747095
39.8,-0.272517,-0.741736
39.9,-0.268837,-0.735769
40.0,-0.263660,-0.730991
40.1,-0.260011,-0.724478
40.2,-0.254431,-0.720108
40.3,-0.251382,-0.711401
40.4,-0.246947,-0.705353
40.5,-0.243596,-0.701460
40.6,-0.240478,-0.693421
40.7,-0.237552,-0.685687
40.8,-0.233960,-0.676974
40.9,-0.232219,-0.670622
41.0,-0.229990,-0.664022
41.1,-0.227397,-0.657149
41.2,-0.222383,-0.650939
41.3,-0.217725,-0.644804
41.4,-0.215885,-0.639862
41.5,-0.213415,-0.629692
41.6,-0.209414,-0.622352
41.7,-0.205166,-0.616164
41.8,-0.201809,-0.608085
41.9,-0.198162,-0.600295
42.0,-0.195534,-0.596325
42.1,-0.191671,-0.589194
42.2,-0.188001,-0.582909
42.3,-0.184007,-0.576809
42.4,-0.180419,-0.571205
42.5,-0.174887,-0.564699
42.6,-0.171374,-0.556165
42.7,-0.167707,-0.551039
42.8,-0.163649,-0.541352
42.9,-0.161378,-0.537080
43.0,-0.157125,-0.532916
43.1,-0.152572,-0.526300
43.2,-0.148313,-0.517635
43.3,-0.144828,-0.511531
43.4,-0.141098,-0.506459
43.5,-0.138035,-0.501271
43.6,-0.135159,-0.493393
43.7,-0.130890,-0.484559
43.8,-0.127624,-0.477171
43.9,-0.122835,-0.470157
44.0,-0.118828,-0.465408
44.1,-0.115715,-0.454346
44.2,-0.113760,-0.448877
44.3,-0.109705,-0.442926
44.4,-0.106663,-0.436264
44.5,-0.103260,-0.430467
44.6,-0.097935,-0.422588
44.7,-0.094114,-0.416219
44.8,-0.091439,-0.411682
44.9,-0.088834,-0.407001
45.0,-0.086018,-0.404361
45.1,-0.083060,-0.401182
45.2,-0.080444,-0.395535
45.3,-0.077032,-0.391467
45.4,-0.074551,-0.385470
45.5,-0.071319,-0.377681
45.6,-0.069981,-0.369514
45.7,-0.067627,-0.366216
45.8,-0.065063,-0.361229
45.9,-0.062320,-0.354277
46.0,-0.057983,-0.347151
46.1,-0.053720,-0.344064
46.2,-0.050855,-0.338523
46.3,-0.046497,-0.326441
