pct,reg1_bps,reg2_bps,reg3_bps,reg4_bps,reg5_bps
17.8,-1.0472,-1.7252,-2.2766,-3.0250,-4.7079
18.0,-1.0307,-1.7058,-2.2550,-2.9992,-4.6580
18.2,-1.0167,-1.6879,-2.2313,-2.9722,-4.6103
18.4,-1.0020,-1.6667,-2.2062,-2.9428,-4.5641
18.6,-0.9902,-1.6479,-2.1813,-2.9145,-4.5201
18.8,-0.9773,-1.6282,-2.1584,-2.8839,-4.4781
19.0,-0.9612,-1.6094,-2.1328,-2.8567,-4.4333
19.2,-0.9477,-1.5908,-2.1083,-2.8279,-4.3913
19.400000000000002,-0.9325,-1.5717,-2.0854,-2.7983,-4.3465
19.6,-0.9165,-1.5533,-2.0614,-2.7702,-4.3024
19.8,-0.9021,-1.5353,-2.0387,-2.7418,-4.2589
20.0,-0.8861,-1.5204,-2.0192,-2.7141,-4.2148
20.200000000000003,-0.8722,-1.5063,-2.0010,-2.6881,-4.1719
20.4,-0.8582,-1.4894,-1.9832,-2.6593,-4.1314
20.599999999999998,-0.8413,-1.4729,-1.9638,-2.6333,-4.0886
20.8,-0.8276,-1.4565,-1.9438,-2.6068,-4.0480
21.0,-0.8141,-1.4390,-1.9229,-2.5802,-4.0090
21.2,-0.7996,-1.4226,-1.9028,-2.5556,-3.9693
21.4,-0.7877,-1.4048,-1.8821,-2.5281,-3.9323
21.6,-0.7719,-1.3883,-1.8626,-2.5040,-3.8938
21.8,-0.7594,-1.3723,-1.8410,-2.4775,-3.8541
22.0,-0.7455,-1.3548,-1.8213,-2.4500,-3.8126
22.2,-0.7319,-1.3385,-1.8012,-2.4249,-3.7733
22.400000000000002,-0.7193,-1.3202,-1.7811,-2.4007,-3.7348
22.6,-0.7064,-1.3052,-1.7615,-2.3752,-3.6946
22.8,-0.6913,-1.2898,-1.7414,-2.3507,-3.6547
23.0,-0.6787,-1.2718,-1.7225,-2.3249,-3.6160
23.200000000000003,-0.6635,-1.2583,-1.7034,-2.3011,-3.5791
23.400000000000002,-0.6504,-1.2419,-1.6848,-2.2770,-3.5420
23.599999999999998,-0.6378,-1.2268,-1.6644,-2.2544,-3.5057
23.799999999999997,-0.6236,-1.2115,-1.6460,-2.2303,-3.4697
24.0,-0.6106,-1.1957,-1.6265,-2.2066,-3.4322
24.2,-0.5994,-1.1814,-1.6083,-2.1825,-3.3950
24.4,-0.5834,-1.1657,-1.5900,-2.1591,-3.3587
24.6,-0.5723,-1.1518,-1.5717,-2.1330,-3.3244
24.8,-0.5604,-1.1385,-1.5531,-2.1087,-3.2897
25.0,-0.5469,-1.1220,-1.5358,-2.0834,-3.2539
25.2,-0.5347,-1.1081,-1.5209,-2.0606,-3.2187
25.4,-0.5223,-1.0955,-1.5051,-2.0365,-3.1820
25.6,-0.5091,-1.0795,-1.4893,-2.0150,-3.1474
25.8,-0.4939,-1.0651,-1.4725,-1.9961,-3.1126
26.0,-0.4836,-1.0498,-1.4552,-1.9773,-3.0774
26.200000000000003,-0.4721,-1.0353,-1.4378,-1.9547,-3.0458
26.400000000000002,-0.4546,-1.0226,-1.4207,-1.9332,-3.0138
26.6,-0.4427,-1.0085,-1.4029,-1.9101,-2.9845
26.8,-0.4319,-0.9969,-1.3863,-1.8904,-2.9513
27.0,-0.4148,-0.9852,-1.3678,-1.8699,-2.9190
27.200000000000003,-0.4009,-0.9735,-1.3497,-1.8478,-2.8860
27.400000000000002,-0.3888,-0.9588,-1.3338,-1.8270,-2.8541
27.6,-0.3737,-0.9448,-1.3165,-1.8047,-2.8200
27.800000000000004,-0.3579,-0.9303,-1.2992,-1.7843,-2.7880
28.000000000000004,-0.3446,-0.9156,-1.2829,-1.7630,-2.7556
28.199999999999996,-0.3307,-0.9003,-1.2667,-1.7414,-2.7245
28.4,-0.3146,-0.8869,-1.2510,-1.7211,-2.6931
28.599999999999998,-0.3021,-0.8725,-1.2343,-1.6991,-2.6623
28.799999999999997,-0.2861,-0.8594,-1.2181,-1.6787,-2.6325
28.999999999999996,-0.2690,-0.8440,-1.2030,-1.6584,-2.6015
29.2,-0.2557,-0.8304,-1.1873,-1.6370,-2.5709
29.4,-0.2398,-0.8184,-1.1712,-1.6168,-2.5389
29.599999999999998,-0.2231,-0.8037,-1.1557,-1.5968,-2.5090
29.799999999999997,-0.2058,-0.7915,-1.1406,-1.5768,-2.4789
30.0,-0.1920,-0.7783,-1.1252,-1.5576,-2.4482
